File_name,Column_names
URL-configuraties van kanaal.csv,Kanaal-ID
URL-configuraties van kanaal.csv,Naam van vanity-URL 1 voor kanaal
URL-configuraties van kanaal.csv,Naam van vanity-URL 2 voor kanaal
gegevens voor kanaalfunctie.csv,Kanaal-ID
gegevens voor kanaalfunctie.csv,Automatische moderatie in livechat van kanaal
gegevens voor kanaalfunctie.csv,Standaard toegestane reactietype van video
gegevens voor kanaalfunctie.csv,Standaard doelgroep van video
gegevens voor kanaalfunctie.csv,Standaardlicentie van video
gegevens voor kanaalfunctie.csv,Standaardbreedtegraad van videolocatie
gegevens voor kanaalfunctie.csv,Standaardlengtegraad van videolocatie
instellingen voor het beheer van je kanaalcommu.csv,Kanaal-ID
instellingen voor kanaalpagina.csv,Kanaal-ID
kanaal.csv,Kanaal-ID
kanaal.csv,(Originele) kanaaltitel
kanaal.csv,Kanaalzichtbaarheid
video-opnamen.csv,Video-ID
video-opnamen.csv,Hoogte van video-opname
video-opnamen.csv,Latitude van video-opname
video-opnamen.csv,Longitude van video-opname
video_s.csv,Video-ID
video_s.csv,Geschatte duur (ms)
video_s.csv,Audiotaal van video
video_s.csv,Videocategorie
video_s.csv,Videobeschrijving (origineel)
video_s.csv,Kanaal-ID
video_s.csv,Videotitel (origineel)
video_s.csv,Privacy
video_s.csv,Videostatus
video_s.csv,Tijdstempel aanmaaktijd video
video_s.csv,Tijdstempel publicatietijd video
reacties.csv,Reactie-ID
reacties.csv,Kanaal-ID
reacties.csv,Aanmaaktijdstempel reactie
reacties.csv,Prijs
reacties.csv,Video-ID
reacties.csv,Reactietekst
abonnementen.csv,Kanaal-ID
abonnementen.csv,Kanaal-URL
abonnementen.csv,Kanaaltitel
Video_s in Favorites.csv,Video-ID
Video_s in Favorites.csv,Tijdstempel voor het maken van een playlistvideo
Video_s in Watch later.csv,Video-ID
Video_s in Watch later.csv,Tijdstempel voor het maken van een playlistvideo
Video_s in crochet.csv,Video-ID
Video_s in crochet.csv,Tijdstempel voor het maken van een playlistvideo
playlists.csv,Playlist-ID
playlists.csv,Nieuwe video's bovenaan toevoegen
playlists.csv,Playlist-titel (Origineel)
playlists.csv,(Originele) taal van playlist-titel
playlists.csv,Playlist tijdstempel maken
playlists.csv,Playlist tijdstempel updaten
playlists.csv,Videovolgorde playlist
playlists.csv,Zichtbaarheid van playlist
